imdb_id,vote_count,vote_average,poster_path,id
tt0114709,5415.0,7.7,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,862
tt0113497,2413.0,6.9,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,8844
tt0113228,92.0,6.5,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,15602
tt0114885,34.0,6.1,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,31357
tt0113041,173.0,5.7,/e64sOI48hQXyru7naBFyssKFxVd.jpg,11862
tt0113277,1886.0,7.7,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,949
tt0114319,141.0,6.2,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,11860
tt0112302,45.0,5.4,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,45325
tt0114576,174.0,5.5,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,9091
tt0113189,1194.0,6.6,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,710
tt0112346,199.0,6.5,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,9087
tt0112896,210.0,5.7,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,12110
tt0112453,423.0,7.1,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,21032
tt0113987,72.0,7.1,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,10858
tt0112760,137.0,5.7,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,1408
tt0112641,1343.0,7.8,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,524
tt0114388,364.0,7.2,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,4584
tt0113101,539.0,6.5,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,5
tt0112281,1128.0,6.1,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,9273
tt0113845,224.0,5.4,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,11517
tt0113161,305.0,6.4,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,8012
tt0112722,199.0,6.5,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,1710
tt0112401,394.0,6.0,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,9691
tt0114168,143.0,6.3,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,12665
tt0113627,365.0,7.1,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,451
tt0114057,33.0,7.0,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,16420
tt0114011,91.0,6.6,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,9263
tt0114117,36.0,7.4,/si8911IezMvAnQFDvyg1nKzDlD.jpg,17015
tt0112682,308.0,7.6,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,902
tt0115012,17.0,6.5,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,37557
tt0112792,249.0,6.4,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,9909
tt0114746,2470.0,7.4,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,63
tt0114952,4.0,6.8,/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg,78802
tt0112431,756.0,6.0,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,9598
tt0112637,16.0,6.4,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,47018
tt0112818,350.0,7.3,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,687
tt0112286,2.0,3.5,/lKOAyy098yjoot8cutYsStVO1WS.jpg,139405
tt0113442,149.0,6.1,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,33689
tt0112697,828.0,6.9,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,9603
tt0112749,13.0,6.7,/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,34615
tt0114279,50.0,6.9,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,31174
tt0112819,80.0,6.6,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,11443
tt0114272,30.0,6.3,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,35196
tt0113855,452.0,5.4,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,9312
tt0114681,177.0,6.7,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,577
tt0113347,38.0,6.5,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,11861
tt0114369,5915.0,8.1,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,807
tt0114148,1509.0,6.7,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,10530
tt0114916,10.0,5.9,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,8391
tt0114814,3334.0,8.1,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,629
tt0109950,3.0,6.3,/hwbKoOSUuzuN2AQppnUxwwd4qOD.jpg,117164
tt0113819,145.0,6.7,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,11448
tt0110299,11.0,7.7,/407nYlg60AOj95lqDZ4tvUTTm1k.jpg,49133
tt0112499,41.0,5.2,/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg,26441
tt0113158,15.0,6.1,/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg,97406
tt0113541,1.0,3.0,/tL9ImxOccEshRlgmrKQabKH2tCd.jpg,124057
tt0113321,39.0,6.3,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,9089
tt0110877,181.0,7.6,/qkq2JfINRQi4Iu9VTMMtQFfmGWZ.jpg,11010
tt0112714,2.0,6.5,/8RCRrSAY8e3Qn5p9cNv188ogmZQ.jpg,99040
tt0113419,136.0,5.9,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg,11359
tt0116260,65.0,5.8,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,17182
tt0113862,115.0,6.9,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,2054
tt0116126,192.0,6.2,/l6D9f9WbxdI4tyCmJGs56y8tQla.jpg,10607
tt0118002,14.0,4.5,/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg,19760
tt0115683,110.0,4.4,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,9536
tt0116839,32.0,2.8,/i0hBsWBLw64XRehFzCL44PaCs1y.jpg,11525
tt0114753,11.0,5.4,/k4jOFtt7NqEtLnoI2Rs3BqKNHtI.jpg,40628
tt0113149,43.0,6.0,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,4482
tt0113118,513.0,7.0,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,10634
tt0116367,1644.0,6.9,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,755
tt0113010,54.0,4.1,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,11859
tt0113537,36.0,7.0,/urPxxjylNUHmoNcGkMgHStMTxhF.jpg,28387
tt0113828,8.0,6.6,/ePJCk8puXx28CtvpSpmezpwfVt8.jpg,48750
tt0115644,27.0,5.1,/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg,20927
tt0115676,16.0,3.9,/wtFekK9VKWujQW9R9c6sYbir6wm.jpg,36929
tt0114367,154.0,6.1,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg,9102
tt0113973,3.0,7.3,/tuIDKBp92R4tGFOB46MofvakfiY.jpg,124626
tt0112744,74.0,6.1,/mMXL84GqES2HYpJ0Zt18I7m6mfU.jpg,27526
tt0116731,91.0,5.5,/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg,9623
tt0112445,20.0,7.5,/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg,46785
tt0114660,87.0,6.7,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,400
tt0112379,26.0,7.2,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,880
tt0114039,2.0,4.5,/tsJSlkFSZPQhhVuKrYJXNClYaPD.jpg,146599
tt0113612,0.0,0.0,/pfgpkDNcwSi1x4jVzeLqvxTwX5a.jpg,188588
tt0112365,17.0,6.3,/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,8447
tt0118158,86.0,6.3,/3a5nomeyzJF4gG26HouCtce99ki.jpg,10534
tt0116151,59.0,5.1,/lXSWbUA3T2o792SYdbfFKFTcSC1.jpg,17414
tt0115697,124.0,6.0,/2wsaboVhKXpsLchoaXi0oWmQ7xM.jpg,13997
tt0113972,190.0,6.1,/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg,2086
tt0113490,3.0,6.7,/hT5CF2RJPAVi9TE4iKxGYAufY4J.jpg,61548
tt0117002,77.0,5.7,/Oesh4pN5J2ing4flkgkiVdxILP.jpg,9095
tt0114825,113.0,4.5,/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg,12158
tt0115639,103.0,6.6,/8leYqrAL6EubYjOCZuO6ELPdLYe.jpg,9283
tt0115759,459.0,5.7,/avqUG5RYB93rwSUNL5r16Vtbc9g.jpg,9208
tt0113403,6.0,7.5,/6u2N0gn6uUWF4cSdkXmVB8E8q2X.jpg,40154
tt0113247,695.0,7.9,/jTzBED0leGPwWDqNewye11qzJgd.jpg,406
tt0111173,13.0,5.6,/jdYL6f0KXnYBcnWnwGtnanJtKlE.jpg,45549
tt0113283,4.0,6.8,/j9k3UTx7OZ0xoCws1oACYQZFF5N.jpg,63076
tt0115907,67.0,6.0,/ttdjD9NpxXsTJidPT3o1Gk0oTkG.jpg,11062
tt0115734,285.0,6.8,/iuO10cRKrMfql5yc8YTgdfHt7gR.jpg,13685
tt0117102,16.0,3.3,/8oZW1loLEczN1BU60YobsJJFdSR.jpg,47475
tt0118040,22.0,5.3,/qQek3X5Yv0iLZqQ98KWIKtE3x4m.jpg,2045
tt0116483,767.0,6.5,/pG5edeKkntnt5A799Y0UNI5hi9W.jpg,9614
tt0112579,397.0,7.3,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,688
tt0110251,5.0,5.1,/lnfMQ6K2EgJpn2JZTadnaufiwiR.jpg,11907
